V,V2
-68.9749,-68.9652
-68.978,-68.9683
-68.9812,-68.9715
-68.9844,-68.9747
-68.9877,-68.978
-68.991,-68.9813
-68.9943,-68.9846
-68.9977,-68.988
-69.0011,-68.9914
-69.0046,-68.9949
-69.0081,-68.9984
-69.0116,-69.0019
-69.0152,-69.0055
-69.0188,-69.0091
-69.0224,-69.0127
-69.0261,-69.0164
-69.0298,-69.0201
-69.0336,-69.0239
-69.0374,-69.0277
-69.0412,-69.0315
-69.0451,-69.0354
-69.0491,-69.0394
-69.053,-69.0433
-69.057,-69.0473
-69.0611,-69.0514
-69.0651,-69.0554
-69.0693,-69.0596
-69.0734,-69.0637
-69.0776,-69.0679
-69.0819,-69.0722
-69.0861,-69.0765
-69.0905,-69.0808
-69.0948,-69.0851
-69.0992,-69.0895
-69.1037,-69.094
-69.1082,-69.0985
-69.1127,-69.103
-69.1172,-69.1076
-69.1218,-69.1122
-69.1265,-69.1168
-69.1312,-69.1215
-69.1359,-69.1262
-69.1407,-69.131
-69.1455,-69.1358
-69.1503,-69.1407
-69.1552,-69.1455
-69.1601,-69.1505
-69.1651,-69.1554
-69.1701,-69.1605
-69.1751,-69.1655
-69.1802,-69.1706
-69.1854,-69.1757
-69.1905,-69.1809
-69.1958,-69.1861
-69.201,-69.1914
-69.2063,-69.1967
-69.2116,-69.202
-69.217,-69.2074
-69.2224,-69.2128
-69.2279,-69.2183
-69.2334,-69.2238
-69.2389,-69.2294
-69.2445,-69.235
-69.2501,-69.2406
-69.2558,-69.2463
-69.2615,-69.252
-69.2673,-69.2577
-69.2731,-69.2635
-69.2789,-69.2694
-69.2848,-69.2752
-69.2907,-69.2812
-69.2966,-69.2871
-69.3026,-69.2931
-69.3087,-69.2992
-69.3147,-69.3053
-69.3209,-69.3114
-69.327,-69.3176
-69.3332,-69.3238
-69.3395,-69.33
-69.3458,-69.3363
-69.3521,-69.3426
-69.3584,-69.349
-69.3649,-69.3554
-69.3713,-69.3619
-69.3778,-69.3684
-69.3843,-69.3749
-69.3909,-69.3815
-69.3975,-69.3881
-69.4042,-69.3948
-69.4109,-69.4015
-69.4176,-69.4083
-69.4244,-69.4151
-69.4312,-69.4219
-69.4381,-69.4288
-69.445,-69.4357
-69.4519,-69.4426
-69.4589,-69.4496
-69.4659,-69.4567
-69.473,-69.4637
-69.4801,-69.4709
-69.4873,-69.478
-69.4944,-69.4852
-69.5017,-69.4925
-69.5089,-69.4997
-69.5163,-69.5071
-69.5236,-69.5144
-69.531,-69.5218
-69.5384,-69.5293
-69.5459,-69.5368
-69.5534,-69.5443
-69.561,-69.5519
-69.5686,-69.5595
-69.5762,-69.5671
-69.5839,-69.5748
-69.5916,-69.5825
-69.5994,-69.5903
-69.6072,-69.5981
-69.615,-69.606
-69.6229,-69.6139
-69.6308,-69.6218
-69.6388,-69.6298
-69.6468,-69.6378
-69.6548,-69.6458
-69.6629,-69.6539
-69.671,-69.662
-69.6792,-69.6702
-69.6874,-69.6784
-69.6956,-69.6867
-69.7039,-69.695
-69.7122,-69.7033
-69.7205,-69.7117
-69.7289,-69.7201
-69.7374,-69.7285
-69.7458,-69.737
-69.7543,-69.7455
-69.7629,-69.7541
-69.7715,-69.7627
-69.7801,-69.7713
-69.7888,-69.78
-69.7975,-69.7887
-69.8062,-69.7975
-69.815,-69.8063
-69.8238,-69.8151
-69.8327,-69.824
-69.8416,-69.8329
-69.8505,-69.8419
-69.8595,-69.8509
-69.8685,-69.8599
-69.8775,-69.8689
-69.8866,-69.878
-69.8957,-69.8872
-69.9049,-69.8964
-69.9141,-69.9056
-69.9233,-69.9148
-69.9326,-69.9241
-69.9419,-69.9334
-69.9512,-69.9428
-69.9606,-69.9522
-69.97,-69.9616
-69.9795,-69.9711
-69.989,-69.9806
-69.9985,-69.9901
-70.0081,-69.9997
-70.0177,-70.0093
-70.0273,-70.019
-70.037,-70.0287
-70.0467,-70.0384
-70.0564,-70.0482
-70.0662,-70.0579
-70.076,-70.0678
-70.0859,-70.0776
-70.0957,-70.0875
-70.1057,-70.0975
-70.1156,-70.1074
-70.1256,-70.1174
-70.1356,-70.1275
-70.1457,-70.1376
-70.1558,-70.1477
-70.1659,-70.1578
-70.176,-70.168
-70.1862,-70.1782
-70.1964,-70.1884
-70.2067,-70.1987
-70.217,-70.209
-70.2273,-70.2194
-70.2377,-70.2297
-70.2481,-70.2401
-70.2585,-70.2506
-70.2689,-70.261
-70.2794,-70.2716
-70.2899,-70.2821
-70.3005,-70.2927
-70.3111,-70.3033
-70.3217,-70.3139
-70.3323,-70.3246
-70.343,-70.3353
-70.3537,-70.346
-70.3645,-70.3567
-70.3752,-70.3675
-70.386,-70.3784
-70.3969,-70.3892
-70.4077,-70.4001
-70.4186,-70.411
-70.4295,-70.4219
-70.4405,-70.4329
-70.4515,-70.4439
-70.4625,-70.4549
-70.4735,-70.466
-70.4846,-70.4771
-70.4957,-70.4882
-70.5068,-70.4994
-70.518,-70.5105
-70.5292,-70.5217
-70.5404,-70.533
-70.5516,-70.5442
-70.5629,-70.5555
-70.5742,-70.5668
-70.5855,-70.5782
-70.5969,-70.5896
-70.6082,-70.6009
-70.6196,-70.6124
-70.6311,-70.6238
-70.6425,-70.6353
-70.654,-70.6468
-70.6655,-70.6583
-70.6771,-70.6699
-70.6886,-70.6815
-70.7002,-70.6931
-70.7118,-70.7047
-70.7235,-70.7164
-70.7351,-70.7281
-70.7468,-70.7398
-70.7585,-70.7515
-70.7703,-70.7633
-70.782,-70.7751
-70.7938,-70.7869
-70.8056,-70.7987
-70.8175,-70.8106
-70.8293,-70.8224
-70.8412,-70.8343
-70.8531,-70.8463
-70.8651,-70.8582
-70.877,-70.8702
-70.889,-70.8822
-70.901,-70.8942
-70.913,-70.9062
-70.925,-70.9183
-70.9371,-70.9304
-70.9492,-70.9425
-70.9613,-70.9546
-70.9734,-70.9668
-70.9856,-70.9789
-70.9977,-70.9911
-71.0099,-71.0033
-71.0221,-71.0156
-71.0344,-71.0278
-71.0466,-71.0401
-71.0589,-71.0524
-71.0712,-71.0647
-71.0835,-71.077
-71.0958,-71.0893
-71.1081,-71.1017
-71.1205,-71.1141
-71.1329,-71.1265
-71.1453,-71.1389
-71.1577,-71.1513
-71.1701,-71.1638
-71.1826,-71.1763
-71.1951,-71.1888
-71.2075,-71.2013
-71.22,-71.2138
-71.2326,-71.2263
-71.2451,-71.2389
-71.2577,-71.2515
-71.2702,-71.2641
-71.2828,-71.2767
-71.2954,-71.2893
-71.308,-71.3019
-71.3207,-71.3146
-71.3333,-71.3272
-71.346,-71.3399
-71.3587,-71.3526
-71.3713,-71.3653
-71.384,-71.3781
-71.3968,-71.3908
-71.4095,-71.4036
-71.4222,-71.4163
-71.435,-71.4291
-71.4478,-71.4419
-71.4606,-71.4547
-71.4734,-71.4675
-71.4862,-71.4803
-71.499,-71.4932
-71.5118,-71.506
-71.5247,-71.5189
-71.5375,-71.5318
-71.5504,-71.5447
-71.5633,-71.5576
-71.5762,-71.5705
-71.5891,-71.5834
-71.602,-71.5964
-71.6149,-71.6093
-71.6279,-71.6223
-71.6408,-71.6352
-71.6538,-71.6482
-71.6667,-71.6612
-71.6797,-71.6742
-71.6927,-71.6872
-71.7057,-71.7002
-71.7187,-71.7132
-71.7317,-71.7262
-71.7447,-71.7393
-71.7577,-71.7523
-71.7708,-71.7654
-71.7838,-71.7784
-71.7969,-71.7915
-71.8099,-71.8046
-71.823,-71.8176
-71.8361,-71.8307
-71.8491,-71.8438
-71.8622,-71.8569
-71.8753,-71.87
-71.8884,-71.8832
-71.9015,-71.8963
-71.9146,-71.9094
-71.9277,-71.9225
-71.9408,-71.9357
-71.954,-71.9488
-71.9671,-71.962
-71.9802,-71.9751
-71.9934,-71.9883
-72.0065,-72.0014
-72.0196,-72.0146
-72.0328,-72.0277
-72.046,-72.0409
-72.0591,-72.0541
-72.0723,-72.0673
-72.0854,-72.0805
-72.0986,-72.0936
-72.1118,-72.1068
-72.1249,-72.12
-72.1381,-72.1332
-72.1513,-72.1464
-72.1645,-72.1596
-72.1776,-72.1728
-72.1908,-72.186
-72.204,-72.1992
-72.2172,-72.2124
-72.2304,-72.2256
-72.2436,-72.2388
-72.2567,-72.252
-72.2699,-72.2652
-72.2831,-72.2784
-72.2963,-72.2916
-72.3095,-72.3048
-72.3227,-72.318
-72.3359,-72.3312
-72.3491,-72.3444
-72.3622,-72.3576
-72.3754,-72.3708
-72.3886,
-70,
